Model,Horizon,MAE,RMSE,MAPE (%)
moving_average,15min,0.8183550238609314,1.836569494675822,5.432685
moving_average,30min,1.004250407218933,2.2133893009179864,6.6781244
moving_average,45min,1.1681194305419922,2.5364182068916525,7.765771
moving_average,60min,1.3163323402404785,2.8290351541222103,8.746981
linear_regression,15min,1.393059253692627,2.8199816057944496,10.166491
linear_regression,30min,1.5396660566329956,3.1031729795313625,11.19675
linear_regression,45min,1.6782466173171997,3.3667310507129127,12.160104
linear_regression,60min,1.810968279838562,3.615881269995409,13.07563
STGAT-GRU,15min,0.7047278881072998,1.1979936361312866,7.215419
STGAT-GRU,30min,0.8730034828186035,1.5983299016952515,8.317847
STGAT-GRU,45min,1.0351455211639404,1.9230543375015259,9.445794
STGAT-GRU,60min,1.1830484867095947,2.2139344215393066,10.334662
